FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr
EZ4X5MWK3RS1,Foreign_Exchange Forward EUR JOD 20210116,JFTXFP,false,EUR,false
EZ4X5MWK3RS1,Foreign_Exchange Forward EUR JOD 20210116,JFTXFP,false,EUR,false
EZ568QJ17N79,Foreign_Exchange Forward EUR ZAR 20210116,JFTXFP,false,EUR,false
EZ568QJ17N79,Foreign_Exchange Forward EUR ZAR 20210116,JFTXFP,false,EUR,false
EZ568QJ17N79,Foreign_Exchange Forward EUR ZAR 20210116,JFTXFP,false,EUR,false
EZ568QJ17N79,Foreign_Exchange Forward EUR ZAR 20210116,JFTXFP,false,EUR,false
EZ5BY0GKNVC5,Foreign_Exchange Forward AUD EUR 20210116,JFTXFP,false,EUR,false
EZ5BY0GKNVC5,Foreign_Exchange Forward AUD EUR 20210116,JFTXFP,false,EUR,false
EZ5L2L1QRHL7,Foreign_Exchange Forward CNY HKD 20210116,JFTXFP,false,CNY,false
EZ5L2L1QRHL7,Foreign_Exchange Forward CNY HKD 20210116,JFTXFP,false,CNY,false
EZ5P65LDW3V6,Foreign_Exchange Forward ILS SEK 20210116,JFTXFP,false,SEK,false
EZ5P65LDW3V6,Foreign_Exchange Forward ILS SEK 20210116,JFTXFP,false,SEK,false
EZ5PCRW2X6T5,Foreign_Exchange Forward CNY EUR 20210116,JFTXFP,false,EUR,false
EZ5PCRW2X6T5,Foreign_Exchange Forward CNY EUR 20210116,JFTXFP,false,EUR,false
EZ5R1MRFLRC8,Foreign_Exchange Forward GBP JOD 20210116,JFTXFP,false,GBP,false
EZ5R1MRFLRC8,Foreign_Exchange Forward GBP JOD 20210116,JFTXFP,false,GBP,false
EZ5S3X0L73P1,Foreign_Exchange Forward GBP SGD 20210116,JFTXFP,false,GBP,false
EZ5S3X0L73P1,Foreign_Exchange Forward GBP SGD 20210116,JFTXFP,false,GBP,false
EZ5SYSC6NL75,Foreign_Exchange Forward DKK SEK 20210116,JFTXFP,false,SEK,false
EZ5SYSC6NL75,Foreign_Exchange Forward DKK SEK 20210116,JFTXFP,false,SEK,false
EZ5V5CP0M821,Foreign_Exchange Forward BHD EUR 20210116,JFTXFP,false,EUR,false
EZ5V5CP0M821,Foreign_Exchange Forward BHD EUR 20210116,JFTXFP,false,EUR,false
EZ5Y8932Z896,Foreign_Exchange Forward EUR SGD 20210116,JFTXFP,false,EUR,false
EZ5Y8932Z896,Foreign_Exchange Forward EUR SGD 20210116,JFTXFP,false,EUR,false
EZ5ZJPNDZ7W6,Foreign_Exchange Forward JPY TRY 20210116,JFTXFP,false,TRY,false
EZ5ZJPNDZ7W6,Foreign_Exchange Forward JPY TRY 20210116,JFTXFP,false,TRY,false
EZ68SVSSD468,Foreign_Exchange Forward AUD CHF 20210116,JFTXFP,false,AUD,false
EZ68SVSSD468,Foreign_Exchange Forward AUD CHF 20210116,JFTXFP,false,AUD,false
EZ69D2VLWX38,Foreign_Exchange Forward CAD JPY 20210116,JFTXFP,false,CAD,false
EZ69D2VLWX38,Foreign_Exchange Forward CAD JPY 20210116,JFTXFP,false,CAD,false
EZ6D6V5ZWQ87,Foreign_Exchange Forward SEK USD 20210116,JFTXFP,false,SEK,false
EZ6D6V5ZWQ87,Foreign_Exchange Forward SEK USD 20210116,JFTXFP,false,SEK,false
EZ6K94MTLKG4,Foreign_Exchange Forward AUD GBP 20210116,JFTXFP,false,GBP,false
EZ6K94MTLKG4,Foreign_Exchange Forward AUD GBP 20210116,JFTXFP,false,GBP,false
EZ6L24VNZFT6,Foreign_Exchange Forward AUD NZD 20210116,JFTXFP,false,AUD,false
EZ6L24VNZFT6,Foreign_Exchange Forward AUD NZD 20210116,JFTXFP,false,AUD,false
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,false,USD,false
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,false,USD,false
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,false,USD,false
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,false,USD,false
EZ6QHSN86LP4,Foreign_Exchange Forward NZD SEK 20210116,JFTXFP,false,SEK,false
EZ6QHSN86LP4,Foreign_Exchange Forward NZD SEK 20210116,JFTXFP,false,SEK,false
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,false,EUR,false
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,false,EUR,false
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,false,EUR,false
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,false,EUR,false
EZ6TJHQW0KB5,Foreign_Exchange Forward EUR NOK 20210116,JFTXFP,false,EUR,false
EZ6TJHQW0KB5,Foreign_Exchange Forward EUR NOK 20210116,JFTXFP,false,EUR,false
EZ6TNSPF58V0,Foreign_Exchange Forward RON USD 20210116,JFTXFP,false,USD,false
EZ6TNSPF58V0,Foreign_Exchange Forward RON USD 20210116,JFTXFP,false,USD,false
